"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 03- 17","96,541,000","96,215,000","97,299,000","94,200,000","2.17K","0.34%"
"2024- 03- 16","96,215,000","100,715,000","101,908,000","95,181,000","0.82K","-4.47%"
"2024- 03- 15","100,714,000","102,132,000","103,500,000","95,560,000","0.76K","-1.39%"
"2024- 03- 14","102,137,000","103,682,000","104,500,000","99,157,000","1.02K","-1.49%"
"2024- 03- 13","103,682,000","101,071,000","104,378,000","100,886,000","0.38K","2.56%"
"2024- 03- 12","101,092,000","100,315,000","101,888,000","98,699,000","0.59K","0.77%"
"2024- 03- 11","100,315,000","97,585,000","101,544,000","95,015,000","0.56K","2.81%"
"2024- 03- 10","97,576,000","96,039,000","98,245,000","95,966,000","0.34K","1.60%"
"2024- 03- 09","96,039,000","96,100,000","96,157,000","95,161,000","0.32K","-0.06%"
"2024- 03- 08","96,100,000","93,794,000","98,000,000","93,746,000","1.17K","2.46%"
"2024- 03- 07","93,794,000","93,190,000","95,200,000","92,451,000","0.50K","0.65%"
"2024- 03- 06","93,190,000","90,533,000","94,759,000","88,128,000","0.58K","2.86%"
"2024- 03- 05","90,602,000","95,586,000","96,857,000","87,613,000","2.83K","-5.20%"
"2024- 03- 04","95,576,000","87,986,000","95,600,000","87,502,000","1.30K","8.63%"
"2024- 03- 03","87,986,000","86,402,000","87,986,000","85,237,000","0.37K","1.84%"
"2024- 03- 02","86,400,000","87,456,000","87,671,000","86,300,000","0.24K","-1.20%"
"2024- 03- 01","87,452,000","85,940,000","88,360,000","85,750,000","0.63K","1.76%"
"2024- 02- 29","85,940,000","87,720,000","89,551,000","85,000,000","1.11K","-2.03%"
"2024- 02- 28","87,719,000","78,518,000","88,412,000","78,131,000","3.35K","11.72%"
"2024- 02- 27","78,517,000","74,738,000","79,129,000","74,680,000","1.10K","5.06%"
"2024- 02- 26","74,738,000","71,271,000","75,063,000","70,000,000","1.88K","4.86%"
"2024- 02- 25","71,272,000","71,204,000","71,575,000","70,847,000","0.49K","0.10%"
"2024- 02- 24","71,204,000","70,832,000","71,412,000","70,536,000","0.49K","0.52%"
"2024- 02- 23","70,838,000","71,435,000","71,721,000","70,700,000","0.74K","-0.84%"
"2024- 02- 22","71,437,000","72,266,000","72,276,000","71,197,000","0.69K","-1.15%"
"2024- 02- 21","72,266,000","72,198,000","72,446,000","70,890,000","1.03K","0.08%"
"2024- 02- 20","72,208,000","71,721,000","72,956,000","70,896,000","1.20K","0.68%"
"2024- 02- 19","71,721,000","71,957,000","72,300,000","71,621,000","0.70K","-0.32%"
"2024- 02- 18","71,950,000","71,486,000","72,155,000","70,722,000","0.63K","0.65%"
"2024- 02- 17","71,486,000","72,104,000","72,199,000","69,658,000","1.03K","-0.86%"
"2024- 02- 16","72,103,000","71,177,000","72,472,000","70,881,000","0.71K","1.30%"
"2024- 02- 15","71,178,000","70,270,000","72,104,000","70,255,000","1.11K","1.30%"
"2024- 02- 14","70,268,000","67,376,000","70,334,000","66,835,000","1.17K","4.29%"
"2024- 02- 13","67,377,000","67,075,000","67,671,000","65,801,000","1.06K","0.44%"
