"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2024","217.0","209.0","219.0","200.0","141.68M","3.83%"
"03/16/2024","209.0","237.0","240.0","202.0","57.28M","-12.18%"
"03/15/2024","238.0","254.0","260.0","222.0","41.61M","-6.30%"
"03/14/2024","254.0","240.0","273.0","235.0","63.06M","6.28%"
"03/13/2024","239.0","238.0","245.0","234.0","22.64M","0.42%"
"03/12/2024","238.0","253.0","255.0","227.0","36.93M","-5.93%"
"03/11/2024","253.0","240.0","254.0","226.0","56.40M","5.42%"
"03/10/2024","240.0","252.0","253.0","235.0","31.01M","-4.76%"
"03/09/2024","252.0","233.0","258.0","229.0","98.09M","8.15%"
"03/08/2024","233.0","222.0","246.0","217.0","73.02M","4.95%"
"03/07/2024","222.0","223.0","228.0","206.0","61.95M","-0.45%"
"03/06/2024","223.0","218.0","251.0","205.0","66.51M","1.83%"
"03/05/2024","219.0","255.0","290.4","192.0","260.14M","-13.78%"
"03/04/2024","254.0","214.0","258.0","204.0","163.87M","18.69%"
"03/03/2024","214.0","198.0","218.0","173.0","94.18M","8.08%"
"03/02/2024","198.0","195.0","211.0","190.0","44.08M","1.54%"
"03/01/2024","195.0","165.0","204.0","164.0","129.81M","18.18%"
"02/29/2024","165.0","162.0","190.0","156.0","107.03M","1.85%"
"02/28/2024","162.0","134.0","170.0","130.0","263.22M","20.90%"
"02/27/2024","134.0","123.0","139.0","121.0","52.29M","8.94%"
"02/26/2024","123.0","118.0","124.0","115.0","37.09M","4.24%"
"02/25/2024","118.0","118.0","120.0","118.0","8.47M","0.00%"
"02/24/2024","118.0","117.0","120.0","117.0","6.51M","0.85%"
"02/23/2024","117.0","117.0","119.0","116.0","18.56M","0.00%"
"02/22/2024","117.0","118.0","119.0","116.0","11.88M","-0.85%"
"02/21/2024","118.0","118.0","120.0","115.0","12.74M","0.00%"
"02/20/2024","118.0","124.0","127.0","116.0","34.34M","-4.84%"
"02/19/2024","124.0","117.0","126.0","117.0","36.69M","5.98%"
"02/18/2024","117.0","116.0","118.0","114.0","7.67M","0.86%"
"02/17/2024","116.0","118.0","120.0","113.0","12.28M","-1.69%"
"02/16/2024","118.0","117.0","121.0","116.0","19.47M","0.85%"
"02/15/2024","117.0","116.0","121.0","115.0","21.20M","0.86%"
"02/14/2024","116.0","110.0","118.0","109.0","34.74M","5.45%"
"02/13/2024","110.0","111.0","112.0","109.0","8.34M","-0.90%"
"02/12/2024","111.0","110.0","112.0","108.0","18.70M","0.91%"
"02/11/2024","110.0","110.0","113.0","109.0","7.55M","0.00%"
"02/10/2024","110.0","111.0","112.0","108.0","7.46M","-0.90%"
"02/09/2024","111.0","110.0","112.0","109.0","4.42M","0.91%"
"02/08/2024","110.0","108.0","110.0","108.0","10.62M","1.85%"
"02/07/2024","108.0","108.0","110.0","107.0","5.59M","0.00%"
"02/06/2024","108.0","108.0","109.0","107.0","6.24M","0.00%"
"02/05/2024","108.0","108.0","111.0","107.0","14.50M","0.00%"
"02/04/2024","108.0","109.0","110.0","107.0","26.12M","-0.92%"
"02/03/2024","109.0","109.0","110.0","108.0","3.24M","0.00%"
"02/02/2024","109.0","108.0","110.0","108.0","7.42M","0.93%"
"02/01/2024","108.0","108.0","110.0","107.0","17.98M","0.00%"
"01/31/2024","108.0","110.0","110.0","107.0","31.74M","-1.82%"
"01/30/2024","110.0","112.0","112.0","109.0","34.07M","-1.79%"
"01/29/2024","112.0","109.0","114.0","107.0","28.17M","2.75%"
"01/28/2024","109.0","111.0","112.0","107.0","10.73M","-1.80%"
"01/27/2024","111.0","110.0","111.0","108.0","4.61M","0.91%"
"01/26/2024","110.0","107.0","111.0","107.0","14.01M","2.80%"
"01/25/2024","107.0","108.0","110.0","106.0","6.95M","-0.93%"
"01/24/2024","108.0","109.0","111.0","107.0","12.63M","-0.92%"
"01/23/2024","109.0","111.0","114.0","105.0","24.93M","-1.80%"
"01/22/2024","111.0","118.0","118.0","110.0","39.11M","-5.93%"
"01/21/2024","118.0","121.0","125.0","117.0","15.77M","-3.28%"
"01/20/2024","122.0","109.0","125.0","108.0","68.23M","11.93%"
"01/19/2024","109.0","109.0","109.0","104.0","19.32M","0.00%"
"01/18/2024","109.0","110.0","111.0","107.0","27.49M","-0.91%"
"01/17/2024","110.0","111.0","112.0","110.0","5.89M","-0.90%"
"01/16/2024","111.0","111.0","113.0","110.0","11.14M","0.00%"
"01/15/2024","111.0","109.0","112.0","109.0","15.38M","1.83%"
"01/14/2024","109.0","111.0","115.0","109.0","38.21M","-1.80%"
"01/13/2024","111.0","111.0","112.0","107.0","13.66M","0.91%"
"01/12/2024","110.0","116.0","117.0","108.0","48.17M","-5.17%"
"01/11/2024","116.0","113.0","120.0","111.0","30.36M","1.75%"
"01/10/2024","114.0","106.0","116.0","103.0","71.96M","7.55%"
"01/09/2024","106.0","110.0","113.0","103.0","70.61M","-3.64%"
"01/08/2024","110.0","106.0","110.0","100.0","28.40M","3.77%"
"01/07/2024","106.0","108.0","110.0","103.0","29.24M","-1.85%"
"01/06/2024","108.0","112.0","112.0","106.0","16.94M","-3.57%"
"01/05/2024","112.0","113.0","114.0","109.0","15.60M","-0.88%"
"01/04/2024","113.0","113.0","114.0","109.0","21.47M","0.89%"
"01/03/2024","112.0","122.0","123.0","103.0","40.46M","-8.20%"
"01/02/2024","122.0","123.0","126.0","121.0","18.61M","-0.81%"
"01/01/2024","123.0","120.0","123.0","120.0","23.37M","2.50%"
"12/31/2023","120.0","121.0","122.0","120.0","10.82M","-1.64%"
"12/30/2023","122.0","122.0","123.0","120.0","8.41M","0.00%"
"12/29/2023","122.0","123.0","124.0","120.0","36.44M","-0.81%"
"12/28/2023","123.0","125.0","127.0","122.0","12.20M","-1.60%"
"12/27/2023","125.0","123.0","126.0","120.0","22.78M","1.63%"
"12/26/2023","123.0","125.0","126.0","119.0","27.51M","-1.60%"
"12/25/2023","125.0","124.0","127.0","122.0","30.22M","0.81%"
"12/24/2023","124.0","127.0","129.0","123.0","31.74M","-2.36%"
