"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2024","31.1900","30.8300","31.2700","29.4800","1.84M","1.63%"
"03/16/2024","30.6900","33.3300","33.6300","30.1400","1.66M","-7.81%"
"03/15/2024","33.2900","35.1400","35.5800","30.9700","2.76M","-5.10%"
"03/14/2024","35.0800","36.5300","36.8100","33.4500","1.85M","-3.94%"
"03/13/2024","36.5200","36.8800","37.6200","35.8000","1.36M","-0.98%"
"03/12/2024","36.8800","38.0400","38.2600","35.0100","1.88M","-2.87%"
"03/11/2024","37.9700","36.1200","39.3300","34.0500","3.23M","5.03%"
"03/10/2024","36.1500","37.2700","37.6700","35.3200","1.49M","-2.93%"
"03/09/2024","37.2400","38.0600","39.5600","37.0000","1.41M","-2.13%"
"03/08/2024","38.0500","37.9100","39.3900","36.9800","2.44M","0.40%"
"03/07/2024","37.9000","37.3000","38.3700","36.0800","1.94M","1.69%"
"03/06/2024","37.2700","34.1200","38.3900","32.9400","3.78M","8.98%"
"03/05/2024","34.2000","35.9100","39.5600","30.1900","7.00M","-4.89%"
"03/04/2024","35.9600","33.6000","36.7100","33.0900","3.88M","6.99%"
"03/03/2024","33.6100","34.3400","35.8200","31.0400","4.05M","-1.84%"
"03/02/2024","34.2400","30.3200","34.8200","30.2700","5.01M","12.89%"
"03/01/2024","30.3300","28.8900","30.3800","28.8100","1.55M","5.20%"
"02/29/2024","28.8300","29.5600","31.3900","28.1700","4.29M","-2.57%"
"02/28/2024","29.5900","28.1300","31.0300","27.1500","4.36M","5.23%"
"02/27/2024","28.1200","27.7900","28.6400","27.5200","2.12M","1.26%"
"02/26/2024","27.7700","27.2000","27.9700","26.5300","2.39M","2.13%"
"02/25/2024","27.1900","26.1200","27.3400","25.9500","1.51M","4.18%"
"02/24/2024","26.1000","25.4200","26.1900","25.0900","770.12K","2.68%"
"02/23/2024","25.4200","25.8300","25.9300","25.1100","916.83K","-1.51%"
"02/22/2024","25.8100","26.0700","26.4300","25.4900","981.26K","-0.96%"
"02/21/2024","26.0600","27.0900","27.3100","25.2300","1.62M","-3.73%"
"02/20/2024","27.0700","27.4000","27.6500","25.9300","2.16M","-1.24%"
"02/19/2024","27.4100","26.5600","27.8700","26.2400","1.73M","3.28%"
"02/18/2024","26.5400","26.0600","26.7300","25.7300","843.25K","1.92%"
"02/17/2024","26.0400","26.7700","26.7800","25.4400","925.79K","-2.73%"
"02/16/2024","26.7700","26.8100","27.4500","26.2200","1.59M","-0.04%"
"02/15/2024","26.7800","26.8900","27.4900","26.3800","1.91M","-0.33%"
"02/14/2024","26.8700","26.2200","27.1900","25.6700","1.50M","2.56%"
"02/13/2024","26.2000","26.9100","27.2800","25.7800","1.41M","-2.49%"
"02/12/2024","26.8700","25.8800","27.2000","25.4400","1.25M","3.83%"
"02/11/2024","25.8800","25.9100","26.3300","25.5400","887.27K","-0.04%"
"02/10/2024","25.8900","26.2100","26.4200","25.3800","653.74K","-0.96%"
"02/09/2024","26.1400","25.6200","26.6800","25.5600","1.65M","2.07%"
"02/08/2024","25.6100","25.2000","25.8500","25.0200","1.07M","1.75%"
"02/07/2024","25.1700","24.7300","25.3600","24.3100","990.18K","1.78%"
"02/06/2024","24.7300","24.3100","24.9600","24.1700","1.16M","1.77%"
"02/05/2024","24.3000","24.9900","25.1800","24.0400","1.63M","-2.80%"
"02/04/2024","25.0000","24.8400","25.6400","24.6600","1.86M","0.56%"
"02/03/2024","24.8600","25.1300","25.7100","24.5300","1.41M","-1.00%"
"02/02/2024","25.1100","24.4300","25.4300","24.3100","1.23M","2.87%"
"02/01/2024","24.4100","24.3500","24.9400","23.5600","1.81M","0.33%"
"01/31/2024","24.3300","25.3300","25.8400","24.2000","2.36M","-3.95%"
"01/30/2024","25.3300","24.7200","26.2300","24.5000","2.78M","2.55%"
"01/29/2024","24.7000","23.4800","24.8800","23.0700","1.54M","5.11%"
"01/28/2024","23.5000","24.0000","24.4400","23.3500","1.22M","-2.21%"
"01/27/2024","24.0300","23.8900","24.6100","23.7700","1.13M","0.50%"
"01/26/2024","23.9100","23.2500","24.1100","22.9100","1.51M","2.84%"
"01/25/2024","23.2500","23.0000","23.5200","22.2400","1.65M","1.09%"
"01/24/2024","23.0000","23.0900","23.4400","22.5600","1.20M","-0.52%"
"01/23/2024","23.1200","22.9800","23.8500","21.7500","1.97M","0.83%"
"01/22/2024","22.9300","24.5700","24.6300","22.8200","2.32M","-6.45%"
"01/21/2024","24.5100","24.7200","25.4400","24.4700","1.06M","-0.85%"
"01/20/2024","24.7200","25.3300","25.3300","24.1500","1.80M","-2.37%"
"01/19/2024","25.3200","24.4400","25.4500","22.9800","2.43M","3.60%"
"01/18/2024","24.4400","26.1800","26.1800","24.2100","2.26M","-6.72%"
"01/17/2024","26.2000","27.3000","27.4300","25.7400","1.40M","-4.06%"
"01/16/2024","27.3100","26.7600","27.7300","26.1700","2.06M","2.13%"
"01/15/2024","26.7400","26.6100","27.8000","26.1200","2.05M","1.02%"
"01/14/2024","26.4700","28.5700","28.7800","26.2400","2.06M","-7.38%"
"01/13/2024","28.5800","29.0900","29.9800","27.7600","2.71M","-1.45%"
"01/12/2024","29.0000","29.6200","32.3500","27.6200","7.12M","-2.09%"
"01/11/2024","29.6200","26.6100","32.2100","25.7200","12.32M","12.45%"
"01/10/2024","26.3400","21.2200","26.6400","20.4400","4.75M","24.36%"
"01/09/2024","21.1800","20.3300","21.2100","19.5700","2.20M","4.23%"
"01/08/2024","20.3200","19.2500","20.4300","18.3400","1.42M","5.56%"
"01/07/2024","19.2500","19.8800","20.0500","19.0300","534.88K","-3.17%"
"01/06/2024","19.8800","20.1400","20.2600","19.2700","810.37K","-1.24%"
"01/05/2024","20.1300","20.4800","20.6300","19.4000","1.01M","-1.66%"
"01/04/2024","20.4700","20.0100","20.7100","19.8000","985.21K","2.20%"
"01/03/2024","20.0300","21.9600","22.4900","18.8200","2.59M","-8.79%"
"01/02/2024","21.9600","22.4800","23.0300","21.9300","1.24M","-2.40%"
"01/01/2024","22.5000","21.9200","22.5000","21.5000","775.90K","2.65%"
"12/31/2023","21.9200","22.2700","22.4700","21.4300","859.08K","-1.53%"
"12/30/2023","22.2600","22.4800","23.2400","22.1400","1.45M","-1.07%"
"12/29/2023","22.5000","22.4500","23.4300","21.8600","2.77M","0.22%"
"12/28/2023","22.4500","22.6100","24.3000","22.0700","4.32M","-1.19%"
"12/27/2023","22.7200","20.8400","22.7200","20.3100","2.59M","9.02%"
"12/26/2023","20.8400","21.4500","21.4500","19.8500","1.63M","-2.80%"
"12/25/2023","21.4400","20.8500","21.6500","20.6300","992.04K","2.98%"
"12/24/2023","20.8200","21.4900","21.7000","20.5500","1.09M","-3.03%"
"12/23/2023","21.4700","21.9100","22.1800","21.0800","920.09K","-1.92%"
"12/22/2023","21.8900","20.6800","22.1500","20.5700","2.60M","6.00%"
"12/21/2023","20.6500","20.1900","20.9300","19.9900","821.42K","2.33%"
"12/20/2023","20.1800","19.6500","20.5400","19.6100","849.64K","2.70%"
"12/19/2023","19.6500","19.9100","20.1700","19.4500","602.68K","-1.36%"
"12/18/2023","19.9200","19.9600","20.0800","18.8300","1.10M","-0.20%"
"12/17/2023","19.9600","20.7500","20.7500","19.8700","616.00K","-3.76%"
"12/16/2023","20.7400","19.9500","20.7900","19.7600","632.87K","3.96%"
"12/15/2023","19.9500","20.8800","20.8900","19.8200","624.02K","-4.45%"
"12/14/2023","20.8800","20.7900","21.0000","20.2000","1.16M","0.63%"
"12/13/2023","20.7500","20.3100","20.9200","19.4100","1.01M","2.17%"
"12/12/2023","20.3100","20.1800","20.5600","19.8700","1.07M","0.74%"
"12/11/2023","20.1600","21.9400","22.0100","18.8000","2.58M","-8.20%"
"12/10/2023","21.9600","22.1200","22.4900","21.4900","1.44M","-0.36%"
"12/09/2023","22.0400","22.2600","23.3300","21.8800","2.66M","-0.99%"
"12/08/2023","22.2600","22.0400","22.6200","21.7500","1.84M","1.27%"
"12/07/2023","21.9800","20.2900","22.3100","20.2400","3.55M","8.44%"
"12/06/2023","20.2700","20.2700","20.8700","19.8600","1.49M","0.05%"
"12/05/2023","20.2600","19.9800","20.4500","19.3900","1.24M","1.35%"
"12/04/2023","19.9900","19.8600","20.4000","19.4800","1.41M","0.76%"
"12/03/2023","19.8400","19.6000","19.9900","19.4000","991.28K","1.28%"
"12/02/2023","19.5900","18.9700","19.6800","18.9500","623.02K","3.21%"
"12/01/2023","18.9800","18.6600","19.1400","18.5300","495.35K","1.77%"
"11/30/2023","18.6500","18.7400","18.8100","18.5000","300.75K","-0.43%"
"11/29/2023","18.7300","18.8600","19.0500","18.5500","349.90K","-0.64%"
"11/28/2023","18.8500","18.5400","19.0000","18.2000","443.97K","1.62%"
"11/27/2023","18.5500","19.1100","19.2000","18.1700","628.92K","-2.93%"
"11/26/2023","19.1100","19.4200","19.6000","18.7400","694.87K","-1.65%"
"11/25/2023","19.4300","19.1900","19.5200","19.1500","319.66K","1.20%"
"11/24/2023","19.2000","18.9200","19.5500","18.8600","632.41K","1.53%"
"11/23/2023","18.9100","19.0000","19.2000","18.7000","408.31K","-0.42%"
"11/22/2023","18.9900","18.0200","19.3000","18.0200","676.93K","5.09%"
"11/21/2023","18.0700","19.4400","19.6100","17.8500","1.05M","-7.05%"
"11/20/2023","19.4400","19.6000","19.9800","19.2900","726.41K","-0.72%"
"11/19/2023","19.5800","19.1900","19.6200","18.8700","345.85K","2.03%"
"11/18/2023","19.1900","19.3800","19.3800","18.4300","496.42K","-0.93%"
"11/17/2023","19.3700","19.2700","19.7400","18.4500","984.33K","0.47%"
"11/16/2023","19.2800","19.8800","20.5900","18.9600","1.69M","-3.07%"
"11/15/2023","19.8900","19.0700","19.8900","18.7800","995.74K","4.41%"
"11/14/2023","19.0500","19.9800","20.1700","18.5400","1.54M","-4.56%"
"11/13/2023","19.9600","20.0400","21.1400","19.6100","2.47M","-0.40%"
"11/12/2023","20.0400","20.0300","20.3700","19.2400","1.05M","-0.05%"
"11/11/2023","20.0500","20.7600","20.8700","19.4900","1.44M","-3.37%"
"11/10/2023","20.7500","20.8800","21.8300","20.2200","3.18M","0.39%"
"11/09/2023","20.6700","18.3200","20.6800","18.2200","4.23M","12.77%"
"11/08/2023","18.3300","18.1100","18.4500","18.0100","604.43K","1.16%"
"11/07/2023","18.1200","18.5300","18.5300","17.5300","775.45K","-2.16%"
"11/06/2023","18.5200","17.9800","18.8500","17.6800","1.25M","3.00%"
"11/05/2023","17.9800","17.5000","18.2500","17.3800","947.28K","2.92%"
"11/04/2023","17.4700","17.2500","17.5900","17.1300","369.68K","1.22%"
"11/03/2023","17.2600","17.3000","17.3000","16.7500","524.45K","-0.23%"
"11/02/2023","17.3000","17.7800","17.9500","16.8900","756.00K","-2.64%"
"11/01/2023","17.7700","17.4600","17.9800","17.0300","1.36M","1.60%"
"10/31/2023","17.4900","16.7800","17.7300","16.4500","1.58M","4.23%"
"10/30/2023","16.7800","16.6600","16.9100","16.3000","727.63K","0.78%"
"10/29/2023","16.6500","16.2200","16.7200","16.0200","589.83K","2.65%"
"10/28/2023","16.2200","16.0600","16.3800","16.0300","831.37K","0.93%"
"10/27/2023","16.0700","16.5600","16.5900","15.8800","946.11K","-2.96%"
"10/26/2023","16.5600","16.3900","17.1200","16.1300","1.47M","1.10%"
"10/25/2023","16.3800","16.4600","16.7800","16.1700","892.91K","-0.43%"
"10/24/2023","16.4500","16.6700","17.3100","16.1900","1.43M","-1.08%"
"10/23/2023","16.6300","15.8800","16.7700","15.6900","865.17K","4.79%"
"10/22/2023","15.8700","15.7400","15.8800","15.3800","465.67K","0.83%"
"10/21/2023","15.7400","15.3100","15.8400","15.2400","492.00K","2.88%"
"10/20/2023","15.3000","14.8000","15.5000","14.7500","483.10K","3.38%"
"10/19/2023","14.8000","14.8100","14.8800","14.6500","403.20K","-0.07%"
"10/18/2023","14.8100","14.9500","15.0600","14.7800","275.11K","-1.00%"
"10/17/2023","14.9600","15.2400","15.2700","14.8500","357.50K","-1.84%"
"10/16/2023","15.2400","14.9300","15.8300","14.9200","614.77K","2.01%"
"10/15/2023","14.9400","15.0000","15.0600","14.8700","166.46K","-0.33%"
"10/14/2023","14.9900","14.8400","15.0200","14.8200","132.67K","0.94%"
"10/13/2023","14.8500","14.7700","14.9800","14.7000","185.20K","0.41%"
"10/12/2023","14.7900","14.9200","15.0400","14.6900","337.60K","-1.00%"
"10/11/2023","14.9400","14.9400","14.9700","14.6900","262.43K","0.00%"
"10/10/2023","14.9400","15.0300","15.1500","14.8100","178.71K","-0.66%"
"10/09/2023","15.0400","15.4900","15.5100","14.7800","407.91K","-2.91%"
"10/08/2023","15.4900","15.6500","15.7000","15.3800","193.67K","-1.09%"
"10/07/2023","15.6600","15.7200","15.7800","15.5500","196.93K","-0.38%"
"10/06/2023","15.7200","15.4400","15.8400","15.4000","176.05K","1.88%"
"10/05/2023","15.4300","15.6300","15.7900","15.4300","234.35K","-1.28%"
"10/04/2023","15.6300","15.6900","15.7100","15.2800","318.06K","-0.45%"
"10/03/2023","15.7000","16.1400","16.6200","15.6400","540.96K","-2.79%"
"10/02/2023","16.1500","16.7200","16.8900","16.0400","548.84K","-3.24%"
"10/01/2023","16.6900","16.3500","16.8000","16.2200","568.62K","2.08%"
"09/30/2023","16.3500","15.8700","16.8400","15.8200","728.12K","3.02%"
"09/29/2023","15.8700","15.8100","16.0400","15.7000","389.07K","0.38%"
"09/28/2023","15.8100","15.3500","15.9700","15.3200","497.47K","3.06%"
"09/27/2023","15.3400","15.1200","15.7200","15.0600","504.58K","1.52%"
