"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2024","45,160.0","45,370.0","45,860.0","42,980.0","2.07M","-0.46%"
"03/16/2024","45,370.0","48,370.0","49,810.0","44,140.0","3.08M","-6.18%"
"03/15/2024","48,360.0","50,370.0","51,240.0","45,360.0","4.78M","-3.95%"
"03/14/2024","50,350.0","51,970.0","52,260.0","48,440.0","3.97M","-3.14%"
"03/13/2024","51,980.0","52,200.0","53,400.0","51,160.0","2.91M","-0.40%"
"03/12/2024","52,190.0","52,800.0","53,300.0","50,010.0","3.03M","-1.10%"
"03/11/2024","52,770.0","51,220.0","54,990.0","48,000.0","7.14M","3.09%"
"03/10/2024","51,190.0","52,230.0","53,060.0","50,050.0","3.92M","-2.01%"
"03/09/2024","52,240.0","54,180.0","55,840.0","51,650.0","5.45M","-3.58%"
"03/08/2024","54,180.0","53,320.0","55,960.0","52,460.0","6.11M","1.59%"
"03/07/2024","53,330.0","52,660.0","53,880.0","51,180.0","5.08M","1.27%"
"03/06/2024","52,660.0","50,030.0","54,190.0","46,670.0","9.93M","5.15%"
"03/05/2024","50,080.0","50,330.0","56,870.0","46,050.0","20.19M","-0.44%"
"03/04/2024","50,300.0","47,170.0","51,620.0","46,210.0","8.13M","6.66%"
"03/03/2024","47,160.0","47,780.0","50,500.0","42,810.0","8.89M","-1.26%"
"03/02/2024","47,760.0","42,450.0","48,620.0","42,350.0","11.73M","12.43%"
"03/01/2024","42,480.0","40,580.0","42,560.0","40,430.0","2.71M","4.71%"
"02/29/2024","40,570.0","41,500.0","44,300.0","40,140.0","9.43M","-2.41%"
"02/28/2024","41,570.0","38,770.0","43,160.0","38,330.0","8.09M","7.25%"
"02/27/2024","38,760.0","38,080.0","39,440.0","37,880.0","4.55M","1.81%"
"02/26/2024","38,070.0","37,440.0","38,390.0","36,550.0","3.84M","1.68%"
"02/25/2024","37,440.0","35,980.0","37,690.0","35,770.0","2.15M","4.06%"
"02/24/2024","35,980.0","35,420.0","36,120.0","35,020.0","887.43K","1.44%"
"02/23/2024","35,470.0","36,020.0","36,200.0","35,270.0","1.21M","-1.55%"
"02/22/2024","36,030.0","36,400.0","36,640.0","35,680.0","1.34M","-1.13%"
"02/21/2024","36,440.0","37,370.0","37,760.0","35,590.0","2.43M","-2.51%"
"02/20/2024","37,380.0","37,930.0","38,300.0","36,310.0","3.35M","-1.50%"
"02/19/2024","37,950.0","36,640.0","38,530.0","36,240.0","2.69M","3.63%"
"02/18/2024","36,620.0","36,050.0","36,850.0","35,480.0","1.30M","1.55%"
"02/17/2024","36,060.0","37,020.0","37,100.0","35,060.0","2.14M","-2.59%"
"02/16/2024","37,020.0","36,800.0","37,850.0","36,310.0","3.18M","0.63%"
"02/15/2024","36,790.0","36,410.0","37,600.0","36,010.0","4.68M","1.02%"
"02/14/2024","36,420.0","35,540.0","36,580.0","34,870.0","3.05M","2.48%"
"02/13/2024","35,540.0","36,110.0","36,670.0","34,990.0","3.21M","-1.41%"
"02/12/2024","36,050.0","34,880.0","36,430.0","34,400.0","2.35M","3.30%"
"02/11/2024","34,900.0","35,050.0","35,420.0","34,580.0","1.76M","-0.40%"
"02/10/2024","35,040.0","35,300.0","35,800.0","34,180.0","1.75M","-0.74%"
"02/09/2024","35,300.0","34,860.0","36,260.0","34,650.0","3.30M","1.26%"
"02/08/2024","34,860.0","34,220.0","35,070.0","34,140.0","1.69M","1.84%"
"02/07/2024","34,230.0","33,810.0","34,540.0","33,390.0","1.61M","1.27%"
"02/06/2024","33,800.0","33,590.0","34,130.0","33,260.0","1.57M","0.69%"
"02/05/2024","33,570.0","34,340.0","34,620.0","33,200.0","2.40M","-2.21%"
"02/04/2024","34,330.0","34,230.0","35,100.0","33,980.0","1.53M","0.15%"
"02/03/2024","34,280.0","34,470.0","35,240.0","33,800.0","1.83M","-0.49%"
"02/02/2024","34,450.0","33,550.0","34,930.0","33,350.0","2.21M","2.68%"
"02/01/2024","33,550.0","33,590.0","34,210.0","32,400.0","2.70M","-0.09%"
"01/31/2024","33,580.0","34,690.0","35,540.0","33,440.0","4.95M","-3.17%"
"01/30/2024","34,680.0","33,750.0","35,840.0","33,420.0","5.11M","2.79%"
"01/29/2024","33,740.0","32,340.0","33,910.0","31,740.0","1.79M","4.33%"
"01/28/2024","32,340.0","33,200.0","33,600.0","32,090.0","1.58M","-2.59%"
"01/27/2024","33,200.0","32,930.0","33,930.0","32,760.0","2.11M","0.82%"
"01/26/2024","32,930.0","32,050.0","33,270.0","31,520.0","2.47M","2.78%"
"01/25/2024","32,040.0","31,660.0","32,480.0","30,740.0","2.40M","1.30%"
"01/24/2024","31,630.0","32,130.0","32,280.0","31,130.0","2.28M","-1.49%"
"01/23/2024","32,110.0","31,780.0","32,980.0","30,150.0","5.01M","1.04%"
"01/22/2024","31,780.0","33,860.0","34,040.0","31,570.0","3.42M","-6.14%"
"01/21/2024","33,860.0","34,090.0","35,160.0","33,760.0","2.55M","-0.67%"
"01/20/2024","34,090.0","35,140.0","35,140.0","33,360.0","2.47M","-2.88%"
"01/19/2024","35,100.0","33,920.0","35,390.0","31,940.0","6.20M","3.51%"
"01/18/2024","33,910.0","36,030.0","36,070.0","33,670.0","5.18M","-5.78%"
"01/17/2024","35,990.0","37,440.0","37,750.0","35,480.0","4.08M","-3.85%"
"01/16/2024","37,430.0","36,770.0","38,200.0","36,030.0","7.40M","1.85%"
"01/15/2024","36,750.0","36,530.0","38,350.0","36,020.0","8.00M","0.57%"
"01/14/2024","36,540.0","39,540.0","39,830.0","36,020.0","8.44M","-7.56%"
"01/13/2024","39,530.0","40,300.0","41,400.0","38,020.0","11.63M","-1.86%"
"01/12/2024","40,280.0","40,640.0","44,390.0","38,330.0","25.71M","-0.93%"
"01/11/2024","40,660.0","37,990.0","43,920.0","36,580.0","40.59M","7.08%"
"01/10/2024","37,970.0","28,590.0","37,970.0","27,420.0","21.85M","32.99%"
"01/09/2024","28,550.0","27,370.0","28,980.0","26,310.0","5.62M","4.39%"
"01/08/2024","27,350.0","25,910.0","27,680.0","24,700.0","2.39M","5.52%"
"01/07/2024","25,920.0","26,840.0","27,130.0","25,590.0","1.08M","-3.43%"
"01/06/2024","26,840.0","27,080.0","27,300.0","26,060.0","1.12M","-0.85%"
"01/05/2024","27,070.0","27,620.0","27,760.0","26,240.0","1.21M","-1.99%"
"01/04/2024","27,620.0","27,610.0","27,920.0","26,600.0","1.76M","0.00%"
"01/03/2024","27,620.0","29,540.0","30,010.0","24,920.0","4.21M","-6.47%"
"01/02/2024","29,530.0","29,940.0","30,710.0","29,510.0","2.69M","-1.37%"
"01/01/2024","29,940.0","29,550.0","30,020.0","29,080.0","1.45M","1.29%"
"12/31/2023","29,560.0","29,960.0","30,140.0","29,080.0","1.70M","-1.34%"
"12/30/2023","29,960.0","30,140.0","31,160.0","29,810.0","3.16M","-0.66%"
"12/29/2023","30,160.0","29,950.0","31,460.0","29,410.0","6.92M","0.63%"
"12/28/2023","29,970.0","30,310.0","32,490.0","29,440.0","9.93M","-1.19%"
