"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2024","5,182,000","5,188,000","5,242,000","4,980,000","15.85K","-0.10%"
"03/16/2024","5,187,000","5,420,000","5,482,000","5,081,000","8.15K","-4.30%"
"03/15/2024","5,420,000","5,554,000","5,625,000","5,184,000","4.74K","-2.43%"
"03/14/2024","5,555,000","5,685,000","5,707,000","5,364,000","5.89K","-2.20%"
"03/13/2024","5,680,000","5,631,000","5,756,000","5,602,000","2.69K","0.82%"
"03/12/2024","5,634,000","5,659,000","5,710,000","5,486,000","4.46K","-0.44%"
"03/11/2024","5,659,000","5,490,000","5,677,000","5,300,000","3.64K","3.08%"
"03/10/2024","5,490,000","5,492,000","5,549,000","5,400,000","2.62K","-0.04%"
"03/09/2024","5,492,000","5,480,000","5,532,000","5,425,000","2.72K","0.24%"
"03/08/2024","5,479,000","5,427,000","5,601,000","5,414,000","7.62K","0.96%"
"03/07/2024","5,427,000","5,392,000","5,500,000","5,260,000","5.59K","0.65%"
"03/06/2024","5,392,000","5,054,000","5,471,000","4,911,000","5.36K","6.69%"
"03/05/2024","5,054,000","5,080,000","5,381,000","4,745,000","25.18K","-0.49%"
"03/04/2024","5,079,000","4,864,000","5,097,000","4,817,000","7.83K","4.42%"
"03/03/2024","4,864,000","4,768,000","4,865,000","4,680,000","2.59K","2.01%"
"03/02/2024","4,768,000","4,814,000","4,873,000","4,751,000","2.00K","-0.96%"
"03/01/2024","4,814,000","4,697,000","4,850,000","4,696,000","3.68K","2.47%"
"02/29/2024","4,698,000","4,749,000","4,921,000","4,667,000","7.18K","-1.09%"
"02/28/2024","4,750,000","4,463,000","4,816,000","4,442,000","19.18K","6.43%"
"02/27/2024","4,463,000","4,354,000","4,529,000","4,338,000","6.56K","2.50%"
"02/26/2024","4,354,000","4,294,000","4,376,000","4,169,000","9.26K","1.40%"
"02/25/2024","4,294,000","4,129,000","4,296,000","4,118,000","5.36K","4.00%"
"02/24/2024","4,129,000","4,076,000","4,148,000","4,054,000","2.30K","1.30%"
"02/23/2024","4,076,000","4,138,000","4,172,000","4,066,000","3.12K","-1.50%"
"02/22/2024","4,138,000","4,142,000","4,199,000","4,065,000","6.06K","-0.10%"
"02/21/2024","4,142,000","4,165,000","4,177,000","4,018,000","5.11K","-0.55%"
"02/20/2024","4,165,000","4,079,000","4,184,000","3,981,000","7.97K","2.08%"
"02/19/2024","4,080,000","3,976,000","4,131,000","3,946,000","6.14K","2.62%"
"02/18/2024","3,976,000","3,854,000","3,991,000","3,822,000","3.22K","3.17%"
"02/17/2024","3,854,000","3,879,000","3,882,000","3,753,000","4.50K","-0.64%"
"02/16/2024","3,879,000","3,871,000","3,938,000","3,821,000","4.42K","0.21%"
"02/15/2024","3,871,000","3,767,000","3,925,000","3,765,000","7.23K","2.76%"
"02/14/2024","3,767,000","3,581,000","3,777,000","3,551,000","4.43K","5.19%"
"02/13/2024","3,581,000","3,569,000","3,628,000","3,526,000","3.45K","0.34%"
"02/12/2024","3,569,000","3,390,000","3,581,000","3,361,000","7.46K","5.28%"
"02/11/2024","3,390,000","3,378,000","3,424,000","3,373,000","1.32K","0.36%"
"02/10/2024","3,378,000","3,358,000","3,412,000","3,330,000","1.14K","0.60%"
"02/09/2024","3,358,000","3,311,000","3,430,000","3,303,000","2.93K","1.39%"
"02/08/2024","3,312,000","3,296,000","3,349,000","3,294,000","2.54K","0.52%"
"02/07/2024","3,295,000","3,247,000","3,326,000","3,230,000","3.52K","1.48%"
"02/06/2024","3,247,000","3,171,000","3,266,000","3,165,000","2.08K","2.40%"
"02/05/2024","3,171,000","3,158,000","3,205,000","3,133,000","1.84K","0.41%"
"02/04/2024","3,158,000","3,164,000","3,183,000","3,134,000","2.23K","-0.16%"
"02/03/2024","3,163,000","3,165,000","3,196,000","3,158,000","1.70K","-0.06%"
"02/02/2024","3,165,000","3,160,000","3,181,000","3,136,000","3.03K","0.16%"
"02/01/2024","3,160,000","3,145,000","3,171,000","3,095,000","3.76K","0.48%"
"01/31/2024","3,145,000","3,213,000","3,225,000","3,124,000","5.51K","-2.12%"
"01/30/2024","3,213,000","3,164,000","3,276,000","3,137,000","10.48K","1.55%"
"01/29/2024","3,164,000","3,106,000","3,165,000","3,074,000","4.40K","1.87%"
"01/28/2024","3,106,000","3,125,000","3,174,000","3,087,000","3.08K","-0.61%"
"01/27/2024","3,125,000","3,121,000","3,143,000","3,101,000","2.49K","0.13%"
"01/26/2024","3,121,000","3,057,000","3,138,000","3,025,000","5.76K","2.09%"
"01/25/2024","3,057,000","3,072,000","3,085,000","3,003,000","4.81K","-0.52%"
"01/24/2024","3,073,000","3,112,000","3,117,000","3,030,000","4.53K","-1.25%"
"01/23/2024","3,112,000","3,194,000","3,244,000","3,000,000","8.70K","-2.60%"
"01/22/2024","3,195,000","3,390,000","3,400,000","3,192,000","7.93K","-5.78%"
"01/21/2024","3,391,000","3,407,000","3,427,000","3,388,000","1.77K","-0.47%"
"01/20/2024","3,407,000","3,452,000","3,452,000","3,390,000","1.94K","-1.30%"
"01/19/2024","3,452,000","3,420,000","3,454,000","3,351,000","7.06K","0.94%"
"01/18/2024","3,420,000","3,476,000","3,493,000","3,379,000","10.11K","-1.61%"
"01/17/2024","3,476,000","3,548,000","3,556,000","3,455,000","5.01K","-2.03%"
"01/16/2024","3,548,000","3,447,000","3,575,000","3,444,000","7.43K","2.93%"
"01/15/2024","3,447,000","3,394,000","3,496,000","3,390,000","4.50K","1.56%"
"01/14/2024","3,394,000","3,544,000","3,545,000","3,388,000","7.80K","-4.23%"
"01/13/2024","3,544,000","3,493,000","3,555,000","3,416,000","6.47K","1.49%"
"01/12/2024","3,492,000","3,586,000","3,712,000","3,408,000","32.70K","-2.62%"
"01/11/2024","3,586,000","3,522,000","3,658,000","3,489,000","18.26K","1.85%"
"01/10/2024","3,521,000","3,151,000","3,608,000","3,146,000","48.03K","11.78%"
