"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2024","889.80","888.20","897.00","856.20","25.57M","0.18%"
"03/16/2024","888.20","918.00","933.40","866.00","23.07M","-3.25%"
"03/15/2024","918.00","956.00","965.40","869.20","39.65M","-3.97%"
"03/14/2024","956.00","976.40","997.00","922.10","34.12M","-2.09%"
"03/13/2024","976.40","972.80","987.90","950.00","19.56M","0.37%"
"03/12/2024","972.80","1,002.00","1,015.00","949.00","30.75M","-3.01%"
"03/11/2024","1,003.00","860.00","1,028.00","829.00","55.24M","16.63%"
"03/10/2024","860.00","871.60","878.00","850.80","14.45M","-1.33%"
"03/09/2024","871.60","874.60","886.90","863.10","13.27M","-0.34%"
"03/08/2024","874.60","880.00","889.20","853.20","24.62M","-0.61%"
"03/07/2024","880.00","862.70","892.70","855.20","22.92M","1.98%"
"03/06/2024","862.90","845.20","871.60","809.10","30.26M","2.19%"
"03/05/2024","844.40","907.30","947.00","806.00","57.30M","-6.93%"
"03/04/2024","907.30","873.50","929.40","865.50","43.74M","3.87%"
"03/03/2024","873.50","897.50","898.10","827.50","30.62M","-2.67%"
"03/02/2024","897.50","842.50","906.80","839.60","45.55M","6.53%"
"03/01/2024","842.50","822.50","843.30","822.00","22.26M","2.39%"
"02/29/2024","822.80","806.30","872.00","792.30","51.55M","2.05%"
"02/28/2024","806.30","806.00","836.40","775.30","51.20M","0.04%"
"02/27/2024","806.00","755.10","820.70","750.70","33.88M","6.71%"
"02/26/2024","755.30","748.20","757.10","730.40","12.03M","0.95%"
"02/25/2024","748.20","752.00","756.00","747.20","6.69M","-0.51%"
"02/24/2024","752.00","745.00","758.50","740.90","7.19M","0.94%"
"02/23/2024","745.00","753.50","758.00","738.70","16.89M","-1.13%"
"02/22/2024","753.50","765.50","765.50","749.00","13.73M","-1.57%"
"02/21/2024","765.50","775.70","778.40","744.90","16.99M","-1.31%"
"02/20/2024","775.70","779.10","792.10","759.50","24.47M","-0.44%"
"02/19/2024","779.10","768.50","784.00","768.10","14.79M","1.38%"
"02/18/2024","768.50","760.10","772.20","755.20","8.13M","1.11%"
"02/17/2024","760.10","780.30","783.00","743.30","13.23M","-2.59%"
"02/16/2024","780.30","771.40","795.90","763.40","25.88M","1.15%"
"02/15/2024","771.40","728.70","790.50","728.70","37.51M","5.83%"
"02/14/2024","728.90","711.00","732.00","705.20","17.01M","2.52%"
"02/13/2024","711.00","713.10","716.50","701.30","14.00M","-0.29%"
"02/12/2024","713.10","712.00","721.10","699.70","14.36M","0.14%"
"02/11/2024","712.10","707.50","723.20","705.20","7.31M","0.66%"
"02/10/2024","707.40","710.40","715.10","700.10","5.15M","-0.42%"
"02/09/2024","710.40","703.90","715.70","701.40","11.02M","0.92%"
"02/08/2024","703.90","697.80","706.00","695.20","11.04M","0.87%"
"02/07/2024","697.80","691.20","699.30","685.50","13.14M","0.95%"
"02/06/2024","691.20","697.70","698.30","685.40","10.16M","-0.93%"
"02/05/2024","697.70","694.40","707.40","686.20","11.03M","0.48%"
"02/04/2024","694.40","714.20","714.60","693.60","8.37M","-2.77%"
"02/03/2024","714.20","699.70","724.30","694.70","12.66M","2.07%"
"02/02/2024","699.70","694.00","705.00","684.90","10.45M","0.82%"
"02/01/2024","694.00","693.90","699.00","675.10","14.91M","0.01%"
"01/31/2024","693.90","701.40","704.70","672.60","20.85M","-1.07%"
"01/30/2024","701.40","730.80","734.00","695.00","41.97M","-4.02%"
"01/29/2024","730.80","720.60","735.30","714.40","10.34M","1.42%"
"01/28/2024","720.60","730.80","735.70","716.50","5.34M","-1.40%"
"01/27/2024","730.80","731.60","737.20","724.10","5.64M","-0.11%"
"01/26/2024","731.60","707.10","736.60","701.40","14.02M","3.46%"
"01/25/2024","707.10","712.40","712.40","696.40","9.74M","-0.74%"
"01/24/2024","712.40","718.50","719.00","703.60","9.51M","-0.85%"
"01/23/2024","718.50","728.30","735.20","687.20","25.12M","-1.35%"
"01/22/2024","728.30","754.40","757.90","721.30","17.44M","-3.46%"
"01/21/2024","754.40","763.00","767.30","754.00","5.41M","-1.13%"
"01/20/2024","763.00","754.10","764.40","744.00","7.12M","1.18%"
"01/19/2024","754.10","764.90","767.00","728.70","19.08M","-1.41%"
"01/18/2024","764.90","781.20","781.20","759.00","12.71M","-2.09%"
"01/17/2024","781.20","789.70","790.10","775.00","9.03M","-1.08%"
"01/16/2024","789.70","790.20","795.20","781.00","11.49M","-0.06%"
"01/15/2024","790.20","791.60","808.60","782.00","10.70M","-0.18%"
"01/14/2024","791.60","790.40","814.40","785.50","11.72M","0.15%"
"01/13/2024","790.40","789.90","796.10","771.10","12.58M","0.06%"
"01/12/2024","789.90","824.00","826.20","775.00","30.21M","-4.14%"
"01/11/2024","824.00","818.50","848.30","798.60","37.52M","0.67%"
"01/10/2024","818.50","762.80","835.60","740.00","38.87M","7.30%"
"01/09/2024","762.80","774.50","776.70","750.00","26.88M","-1.51%"
"01/08/2024","774.50","742.60","784.00","732.80","38.28M","4.30%"
"01/07/2024","742.60","766.30","776.70","734.30","13.77M","-3.09%"
"01/06/2024","766.30","774.00","774.00","753.70","10.94M","-0.99%"
"01/05/2024","774.00","790.50","792.00","754.40","19.72M","-2.09%"
"01/04/2024","790.50","796.00","799.10","768.10","21.89M","-0.69%"
"01/03/2024","796.00","838.00","853.80","725.90","43.89M","-5.01%"
"01/02/2024","838.00","838.70","851.50","834.00","14.39M","-0.08%"
"01/01/2024","838.70","830.90","840.00","824.10","5.47M","0.94%"
"12/31/2023","830.90","834.50","840.70","825.00","8.29M","-0.43%"
"12/30/2023","834.50","835.90","844.90","830.80","5.77M","-0.17%"
"12/29/2023","835.90","847.60","848.00","828.40","15.05M","-1.38%"
"12/28/2023","847.60","845.40","872.00","838.00","23.10M","0.26%"
"12/27/2023","845.40","833.30","853.30","820.90","15.35M","1.45%"
"12/26/2023","833.30","860.30","860.70","818.70","16.06M","-3.14%"
"12/25/2023","860.30","825.80","866.50","820.00","17.08M","4.18%"
"12/24/2023","825.80","838.50","844.20","822.30","9.40M","-1.48%"
"12/23/2023","838.20","844.10","844.50","832.00","7.30M","-0.70%"
"12/22/2023","844.10","843.60","855.90","835.50","12.00M","0.12%"
"12/21/2023","843.10","836.40","843.30","828.90","9.92M","0.80%"
"12/20/2023","836.40","825.00","845.20","818.40","12.55M","1.38%"
"12/19/2023","825.00","833.50","837.20","815.00","11.56M","-1.02%"
"12/18/2023","833.50","836.20","839.10","791.60","24.77M","-0.32%"
"12/17/2023","836.20","848.00","852.50","833.50","7.91M","-1.39%"
"12/16/2023","848.00","850.00","854.20","841.90","7.33M","-0.24%"
"12/15/2023","850.00","860.00","877.80","847.60","15.87M","-1.16%"
"12/14/2023","860.00","863.10","866.50","843.20","15.27M","-0.32%"
"12/13/2023","862.80","857.40","873.70","830.00","22.38M","0.63%"
"12/12/2023","857.40","852.60","864.00","843.90","24.68M","0.56%"
"12/11/2023","852.60","904.00","905.00","832.40","43.96M","-5.69%"
"12/10/2023","904.00","905.00","918.20","885.90","16.54M","-0.11%"
"12/09/2023","905.00","914.10","950.00","902.10","25.45M","-1.00%"
"12/08/2023","914.10","879.90","917.20","868.10","22.35M","3.89%"
"12/07/2023","879.90","881.00","898.60","854.50","35.60M","-0.12%"
"12/06/2023","881.00","848.30","884.30","841.60","44.35M","3.85%"
"12/05/2023","848.30","845.80","852.10","824.50","26.01M","0.30%"
"12/04/2023","845.80","836.00","860.40","820.00","32.19M","1.11%"
"12/03/2023","836.50","826.90","846.80","824.80","16.38M","1.15%"
"12/02/2023","827.00","819.10","828.00","816.10","9.28M","0.96%"
"12/01/2023","819.10","812.20","820.80","808.90","8.24M","0.90%"
"11/30/2023","811.80","816.00","816.00","802.60","12.41M","-0.51%"
"11/29/2023","816.00","815.60","822.40","810.70","10.36M","0.05%"
"11/28/2023","815.60","815.70","819.50","800.70","13.64M","0.01%"
"11/27/2023","815.50","826.00","827.10","804.80","12.75M","-1.27%"
"11/26/2023","826.00","832.30","850.70","819.60","12.46M","-0.76%"
"11/25/2023","832.30","832.00","833.70","824.60","4.74M","0.04%"
"11/24/2023","832.00","830.70","836.00","826.00","12.30M","0.16%"
"11/23/2023","830.70","817.60","833.00","811.00","12.42M","1.60%"
"11/22/2023","817.60","784.50","821.80","783.80","18.63M","4.22%"
"11/21/2023","784.50","820.80","825.20","781.10","26.45M","-4.42%"
"11/20/2023","820.80","834.20","835.80","818.20","14.82M","-1.61%"
"11/19/2023","834.20","820.80","841.10","810.00","10.70M","1.63%"
"11/18/2023","820.80","827.50","827.50","797.50","12.37M","-0.81%"
"11/17/2023","827.50","826.80","837.60","797.20","25.40M","0.08%"
"11/16/2023","826.80","863.60","871.70","821.50","27.53M","-4.26%"
"11/15/2023","863.60","850.10","866.90","832.20","22.13M","1.59%"
"11/14/2023","850.10","903.00","905.70","836.00","38.34M","-5.84%"
"11/13/2023","902.80","881.50","1,000.00","867.40","40.14M","2.42%"
"11/12/2023","881.50","886.70","892.20","868.10","11.75M","-0.59%"
"11/11/2023","886.70","885.90","918.80","861.60","25.93M","0.09%"
"11/10/2023","885.90","897.50","897.80","861.30","19.67M","-1.31%"
"11/09/2023","897.70","915.40","937.70","859.70","35.77M","-1.93%"
"11/08/2023","915.40","916.60","931.30","898.10","14.10M","-0.13%"
"11/07/2023","916.60","953.00","954.10","891.10","22.70M","-3.82%"
"11/06/2023","953.00","887.40","975.80","884.20","30.92M","7.40%"
"11/05/2023","887.30","825.40","889.80","823.60","21.78M","7.50%"
"11/04/2023","825.40","822.90","830.30","819.10","7.14M","0.30%"
"11/03/2023","822.90","823.70","824.70","797.80","12.39M","-0.10%"
"11/02/2023","823.70","825.90","845.20","801.20","13.12M","-0.27%"
"11/01/2023","825.90","814.10","834.30","793.00","13.56M","1.45%"
"10/31/2023","814.10","783.30","839.80","766.40","17.69M","3.93%"
"10/30/2023","783.30","754.00","790.70","747.10","11.83M","3.89%"
"10/29/2023","754.00","741.30","759.60","738.30","5.78M","1.71%"
"10/28/2023","741.30","737.20","746.60","736.00","4.57M","0.56%"
"10/27/2023","737.20","747.70","753.00","732.30","6.66M","-1.40%"
"10/26/2023","747.70","749.20","767.10","735.80","11.21M","-0.20%"
"10/25/2023","749.20","751.60","760.70","733.00","10.62M","-0.33%"
"10/24/2023","751.70","730.60","781.20","714.40","28.87M","2.89%"
"10/23/2023","730.60","702.70","735.70","701.60","16.65M","3.97%"
"10/22/2023","702.70","703.50","707.30","695.40","4.86M","-0.11%"
"10/21/2023","703.50","698.50","719.30","693.00","6.63M","0.72%"
"10/20/2023","698.50","705.10","720.00","689.00","11.05M","-0.94%"
"10/19/2023","705.10","666.50","712.30","653.50","14.51M","5.79%"
"10/18/2023","666.50","668.40","671.50","663.20","7.21M","-0.28%"
"10/17/2023","668.40","675.60","675.90","662.00","5.40M","-1.07%"
"10/16/2023","675.60","665.60","691.20","662.40","9.89M","1.50%"
"10/15/2023","665.60","666.30","668.70","663.60","3.17M","-0.11%"
"10/14/2023","666.30","667.70","670.10","665.20","2.75M","-0.21%"
"10/13/2023","667.70","663.00","672.40","657.90","5.14M","0.71%"
"10/12/2023","663.00","666.90","667.20","648.60","7.60M","-0.58%"
"10/11/2023","666.90","676.90","677.00","654.50","8.14M","-1.48%"
"10/10/2023","676.90","685.60","685.60","671.90","5.08M","-1.27%"
"10/09/2023","685.60","703.10","707.00","674.00","8.67M","-2.49%"
"10/08/2023","703.10","708.30","710.00","701.60","2.54M","-0.73%"
"10/07/2023","708.30","711.00","711.70","706.70","2.09M","-0.38%"
"10/06/2023","711.00","710.10","715.10","705.00","6.24M","0.13%"
"10/05/2023","710.10","721.30","721.30","702.40","9.52M","-1.55%"
"10/04/2023","721.30","731.70","736.90","707.80","20.81M","-1.46%"
"10/03/2023","732.00","697.20","742.70","689.90","18.40M","4.99%"
"10/02/2023","697.20","707.90","713.20","694.10","13.50M","-1.51%"
"10/01/2023","707.90","698.60","708.80","697.30","7.91M","1.33%"
"09/30/2023","698.60","706.20","706.20","696.70","7.72M","-1.08%"
"09/29/2023","706.20","690.30","743.20","687.60","28.60M","2.30%"
"09/28/2023","690.30","681.90","691.40","677.40","10.18M","1.23%"
"09/27/2023","681.90","680.70","689.50","676.70","8.79M","0.18%"
"09/26/2023","680.70","682.30","687.50","675.90","9.88M","-0.23%"
"09/25/2023","682.30","679.30","684.50","665.20","12.82M","0.44%"
"09/24/2023","679.30","686.70","691.60","677.10","6.43M","-1.08%"
"09/23/2023","686.70","693.20","694.30","684.90","4.37M","-0.94%"
"09/22/2023","693.20","686.80","698.20","683.10","8.16M","0.93%"
"09/21/2023","686.80","701.60","701.60","678.70","11.77M","-2.11%"
"09/20/2023","701.60","689.20","705.80","683.30","14.86M","1.80%"
"09/19/2023","689.20","675.90","692.10","672.40","11.62M","2.01%"
"09/18/2023","675.60","664.60","680.30","659.20","16.51M","1.66%"
"09/17/2023","664.60","676.10","676.40","663.00","5.85M","-1.70%"
"09/16/2023","676.10","675.00","680.20","673.20","4.64M","0.16%"
"09/15/2023","675.00","661.10","685.70","660.70","11.91M","2.10%"
"09/14/2023","661.10","653.30","667.50","649.40","8.30M","1.13%"
"09/13/2023","653.70","651.10","663.10","642.30","10.65M","0.40%"
"09/12/2023","651.10","646.50","658.20","640.20","13.37M","0.71%"
"09/11/2023","646.50","677.20","678.40","635.40","21.70M","-4.53%"
"09/10/2023","677.20","685.90","686.00","674.60","5.78M","-1.27%"
"09/09/2023","685.90","686.50","687.10","682.60","2.85M","-0.09%"
"09/08/2023","686.50","685.20","688.80","675.00","7.31M","0.19%"
"09/07/2023","685.20","684.00","687.20","675.70","6.31M","0.18%"
"09/06/2023","684.00","687.00","687.30","671.00","8.84M","-0.44%"
"09/05/2023","687.00","688.90","688.90","679.30","8.23M","-0.28%"
"09/04/2023","688.90","685.50","694.60","676.50","10.23M","0.47%"
"09/03/2023","685.70","678.90","695.40","676.90","6.68M","1.00%"
"09/02/2023","678.90","682.10","684.60","673.00","8.72M","-0.47%"
"09/01/2023","682.10","698.90","699.70","669.70","16.83M","-2.40%"
"08/31/2023","698.90","717.00","718.60","688.50","16.82M","-2.52%"
"08/30/2023","717.00","728.30","728.40","708.20","12.30M","-1.55%"
"08/29/2023","728.30","707.00","743.30","695.70","23.27M","3.01%"
"08/28/2023","707.00","710.40","710.40","692.80","9.19M","-0.48%"
"08/27/2023","710.40","711.40","719.20","704.40","4.79M","-0.14%"
"08/26/2023","711.40","715.30","716.60","705.10","4.72M","-0.55%"
"08/25/2023","715.30","705.40","722.30","690.60","17.10M","1.40%"
"08/24/2023","705.40","720.30","721.40","696.40","10.65M","-2.07%"
"08/23/2023","720.30","713.50","727.00","705.50","12.73M","0.95%"
"08/22/2023","713.50","717.80","719.20","692.20","18.11M","-0.60%"
"08/21/2023","717.80","738.80","740.50","693.00","17.37M","-2.84%"
"08/20/2023","738.80","717.70","766.30","714.10","23.93M","2.94%"
"08/19/2023","717.70","696.90","724.30","691.40","14.95M","2.98%"
"08/18/2023","696.90","696.20","715.00","662.50","47.28M","0.10%"
"08/17/2023","696.20","799.10","806.70","652.50","43.82M","-12.88%"
"08/16/2023","799.10","824.20","834.50","786.80","18.67M","-3.05%"
"08/15/2023","824.20","845.80","846.90","803.10","10.11M","-2.55%"
"08/14/2023","845.80","835.90","849.50","834.10","6.24M","1.18%"
"08/13/2023","835.90","837.30","850.60","834.70","3.50M","-0.17%"
"08/12/2023","837.30","842.10","843.40","832.00","3.10M","-0.57%"
"08/11/2023","842.10","840.40","852.10","836.20","5.27M","0.20%"
"08/10/2023","840.40","852.80","855.00","827.50","12.57M","-1.45%"
"08/09/2023","852.80","849.80","882.20","841.20","16.09M","0.36%"
"08/08/2023","849.70","824.70","856.60","815.80","11.81M","3.03%"
"08/07/2023","824.70","828.30","833.70","800.00","15.62M","-0.43%"
"08/06/2023","828.30","832.80","846.90","825.80","8.48M","-0.54%"
"08/05/2023","832.80","841.10","841.10","807.70","16.08M","-0.99%"
"08/04/2023","841.10","873.60","880.80","832.50","16.97M","-3.72%"
"08/03/2023","873.60","900.80","903.40","867.80","14.14M","-3.06%"
"08/02/2023","901.20","919.10","920.50","894.00","9.16M","-1.95%"
"08/01/2023","919.10","905.90","920.30","889.20","18.07M","1.46%"
"07/31/2023","905.90","911.60","933.00","894.50","14.72M","-0.63%"
"07/30/2023","911.60","919.90","949.60","900.00","15.37M","-0.90%"
"07/29/2023","919.90","922.00","925.30","913.90","4.09M","-0.23%"
"07/28/2023","922.00","926.20","930.00","913.30","9.18M","-0.45%"
"07/27/2023","926.20","925.90","948.20","916.00","15.48M","0.03%"
"07/26/2023","925.90","919.50","943.70","898.70","23.48M","0.70%"
"07/25/2023","919.50","912.90","930.00","876.40","27.30M","0.75%"
"07/24/2023","912.70","957.20","960.30","890.80","37.59M","-4.65%"
"07/23/2023","957.20","955.20","971.30","930.00","18.68M","0.21%"
"07/22/2023","955.20","1,003.00","1,010.00","944.70","22.77M","-4.77%"
"07/21/2023","1,003.00","1,028.00","1,034.00","987.00","21.60M","-2.43%"
"07/20/2023","1,028.00","1,049.00","1,087.00","1,001.00","33.70M","-2.00%"
"07/19/2023","1,049.00","999.50","1,088.00","989.30","51.61M","4.92%"
"07/18/2023","999.80","948.00","1,005.00","940.00","32.95M","5.46%"
"07/17/2023","948.00","962.70","982.50","921.50","33.10M","-1.53%"
"07/16/2023","962.70","918.00","1,012.00","909.80","46.40M","4.87%"
"07/15/2023","918.00","925.50","942.80","889.20","40.82M","-0.84%"
"07/14/2023","925.80","1,032.00","1,045.00","870.10","95.80M","-10.38%"
"07/13/2023","1,033.00","616.80","1,127.00","612.30","131.36M","67.48%"
"07/12/2023","616.80","623.20","624.00","611.10","10.57M","-1.03%"
"07/11/2023","623.20","629.50","629.50","619.60","6.67M","-1.00%"
"07/10/2023","629.50","618.10","630.80","613.40","10.51M","1.84%"
"07/09/2023","618.10","623.40","623.70","617.90","4.39M","-0.85%"
"07/08/2023","623.40","621.00","628.70","616.60","5.55M","0.39%"
"07/07/2023","621.00","616.30","624.00","612.60","8.60M","0.76%"
"07/06/2023","616.30","632.70","637.50","615.30","16.52M","-2.59%"
"07/05/2023","632.70","643.00","648.70","621.70","15.37M","-1.60%"
"07/04/2023","643.00","646.10","650.50","636.00","9.79M","-0.48%"
"07/03/2023","646.10","642.70","647.40","633.80","12.03M","0.59%"
"07/02/2023","642.30","629.70","658.10","624.80","30.25M","2.00%"
"07/01/2023","629.70","629.90","634.00","620.00","13.54M","-0.03%"
"06/30/2023","629.90","633.20","641.60","605.40","27.91M","-0.52%"
"06/29/2023","633.20","618.30","636.00","614.80","17.15M","2.41%"
"06/28/2023","618.30","639.50","640.20","607.10","22.72M","-3.32%"
"06/27/2023","639.50","634.70","640.40","631.40","17.35M","0.76%"
"06/26/2023","634.70","649.60","652.40","626.80","24.20M","-2.29%"
"06/25/2023","649.60","648.30","659.70","643.50","15.79M","0.20%"
"06/24/2023","648.30","657.00","657.20","641.00","13.88M","-1.32%"
"06/23/2023","657.00","646.50","662.20","643.00","32.98M","1.62%"
"06/22/2023","646.50","653.10","688.10","642.50","34.62M","-1.01%"
"06/21/2023","653.10","644.00","657.90","639.50","28.42M","1.41%"
"06/20/2023","644.00","644.80","649.10","621.80","17.23M","-0.12%"
"06/19/2023","644.80","637.00","650.30","631.40","15.22M","1.22%"
"06/18/2023","637.00","629.20","651.10","623.90","17.03M","1.24%"
"06/17/2023","629.20","623.70","637.10","615.60","14.02M","0.88%"
"06/16/2023","623.70","627.20","630.30","600.50","25.41M","-0.56%"
"06/15/2023","627.20","630.20","637.50","611.80","26.62M","-0.48%"
"06/14/2023","630.20","678.70","680.20","611.00","46.40M","-7.15%"
"06/13/2023","678.70","690.40","735.50","665.40","60.15M","-1.69%"
"06/12/2023","690.40","689.90","694.40","675.20","21.31M","0.07%"
"06/11/2023","689.90","673.00","699.70","667.00","15.35M","2.51%"
"06/10/2023","673.00","707.50","708.90","641.00","49.42M","-4.88%"
"06/09/2023","707.50","691.20","710.50","687.00","18.94M","2.36%"
"06/08/2023","691.20","687.60","695.30","683.30","15.64M","0.52%"
"06/07/2023","687.60","697.50","709.80","674.50","26.17M","-1.41%"
"06/06/2023","697.40","678.90","701.50","655.90","26.80M","2.72%"
"06/05/2023","678.90","708.60","717.30","653.30","40.14M","-4.19%"
"06/04/2023","708.60","687.80","719.80","684.50","14.65M","3.02%"
"06/03/2023","687.80","694.50","703.80","682.60","10.23M","-0.96%"
"06/02/2023","694.50","676.60","697.50","672.90","14.99M","2.65%"
"06/01/2023","676.60","691.10","691.10","672.80","16.99M","-2.10%"
"05/31/2023","691.10","693.00","703.60","671.00","29.24M","-0.27%"
